stethography,rrvalues
-1.4897,0.793
0.1815,0.796
1.3439,0.801
0.386,0.85
-1.1263,0.857
-1.0022,0.835
0.8781,0.798
1.3412,0.767
0.0522,0.769
-1.2846,0.761
-0.7396,0.756
0.9503,0.748
1.3749,0.744
0.1646,0.756
-1.381,0.774
-0.8396,0.776
1.018,0.778
1.3025,0.774
0.0996,0.78
-1.3199,0.792
-0.9452,0.79
0.9364,0.777
1.1721,0.77
-0.3954,0.777
-1.4272,0.794
-0.4336,0.791
1.0305,0.776
0.8713,0.788
-0.6787,0.807
-1.5294,0.797
-0.5949,0.777
1.0948,0.786
0.9074,0.799
-0.5454,0.816
-1.2213,0.808
-0.0175,0.786
1.1943,0.772
0.5886,0.771
-0.9689,0.777
-1.1621,0.788
0.4942,0.793
1.0381,0.815
-0.2234,0.827
-1.1069,0.845
-0.1527,0.818
1.1468,0.808
0.5406,0.802
-0.9535,0.797
-0.832,0.797
0.6244,0.801
1.1035,0.807
-0.184,0.824
-1.0438,0.839
0.2403,0.82
1.0681,0.83
-0.0917,0.832
-1.1874,0.831
-0.4352,0.82
1.0243,0.804
0.7928,0.801
-0.5576,0.798
-1.0569,0.798
0.2699,0.803
1.063,0.815
0.0521,0.86
-0.9293,0.856
-0.2042,0.828
1.0752,0.815
0.9033,0.811
-0.7389,0.809
-1.1645,0.808
0.3575,0.808
1.091,0.815
-0.0927,0.827
-1.226,0.851
-0.659,0.844
0.8569,0.835
0.8167,0.842
-0.6895,0.854
-1.1343,0.861
-0.6296,0.835
0.8078,0.82
0.9359,0.815
-0.5065,0.836
-1.035,0.841
-0.2652,0.84
1.0568,0.843
0.9059,0.848
-0.4001,0.866
-0.9032,0.857
-0.5662,0.852
0.4276,0.819
0.672,0.815
-0.324,0.82
-0.7384,0.836
-0.7975,0.851
-0.0243,0.84
0.1347,0.828
-0.3222,0.844
0.0338,0.823
1.1378,0.82
1.5433,0.831
0.7447,0.873
-0.4271,0.884
-0.7027,0.919
0.2966,0.888
1.2581,0.876
0.8415,0.879
-0.4334,0.881
-0.906,0.871
-0.1835,0.849
0.9849,0.838
0.9944,0.823
-0.3571,0.836
-1.0741,0.83
-0.6567,0.833
0.7607,0.836
1.2615,0.821
0.3787,0.848
-0.7905,0.871
-0.9457,0.882
-0.0609,0.868
1.036,0.847
0.9327,0.826
0.0474,0.825
-0.8747,0.819
-0.6543,0.819
0.6442,0.846
0.8369,0.876
-0.4473,0.912
-0.8947,0.937
-0.5362,0.928
0.4014,0.911
0.1558,0.903
-0.5983,0.893
-0.6,0.876
0.1889,0.861
0.2013,0.879
-0.3251,0.885
-0.4918,0.898
0.0226,0.875
0.4325,0.898
0.0087,0.884
0.4794,0.849
1.5647,0.817
2.0105,0.8
1.4474,0.84
-0.1354,0.884
-0.7637,0.901
-0.8768,0.815
-0.7641,0.806
0.2084,0.798
1.9156,0.79
-0.6093,0.795
-2.9667,0.785
-2.0798,0.772
-1.4287,0.738
-0.9556,0.709
-0.6701,0.698
1.3396,0.736
2.8696,0.745
2.3291,0.779
0.0554,0.812
-1.1246,0.825
0.2991,0.824
1.9919,0.816
1.7688,0.815
-0.4366,0.831
-1.6765,0.818
-1.0843,0.799
1.048,0.787
1.8181,0.78
0.7953,0.799
-1.2185,0.809
-1.7531,0.833
0.0743,0.84
1.6402,0.838
1.0389,0.85
-1.0478,0.853
-1.6239,0.859
0.2665,0.839
1.6036,0.832
0.6553,0.83
-1.2216,0.833
-1.5981,0.833
-0.3095,0.825
1.299,0.825
0.9787,0.834
-0.9407,0.835
-1.0733,0.836
0.6449,0.828
1.1119,0.824
-0.5264,0.832
-1.1224,0.841
0.2831,0.827
1.3521,0.817
0.2652,0.822
-1.0363,0.823
-0.3881,0.807
1.1185,0.794
0.9599,0.807
-0.617,0.818
-1.1864,0.847
-0.0447,0.848
1.3614,0.837
1.0203,0.829
-0.7065,0.839
-0.9101,0.833
0.7106,0.817
0.8246,0.831
-0.6394,0.83
-0.6953,0.84
0.7467,0.821
0.9942,0.823
-0.4079,0.83
-0.6102,0.834
0.5893,0.832
0.2758,0.836
-0.532,0.853
-0.5716,0.867
0.1974,0.862
0.0862,0.878
-0.5158,0.89
-0.8546,0.883
0.1157,0.855
1.0239,0.834
0.8374,0.811
-0.1123,0.782
-0.505,0.773
-0.2396,0.743
-0.4447,0.79
-0.0239,0.857
1.5379,0.889
1.857,0.867
0.2233,0.899
-1.1477,0.896
-0.0255,0.871
1.5956,0.842
1.4223,0.835
-0.6442,0.839
-1.4254,0.83
0.3177,0.812
1.5487,0.808
0.5777,0.825
-1.2336,0.838
-1.3084,0.854
0.3711,0.842
